Rank,ID,Country,Continent,Population,IMF_GDP,UN_GDP,GDP_per_capita
1,840,United States,North America,339996.56,26695150000000.00,18624475000000.00,78515.94
2,156,China,Asia,1425671.35,21865482000000.00,11218281029298.00,15336.97
3,392,Japan,Asia,123294.51,5291351000000.00,4936211827875.00,42916.35
4,276,Germany,Europe,83294.63,4564778000000.00,3477796274497.00,54802.79
5,356,India,Asia,1428627.66,3893670000000.00,2259642382872.00,2725.46
6,826,United Kingdom,Europe,67736.80,3686935000000.00,2647898654635.00,54430.31
7,250,France,Europe,64756.58,3086226000000.00,2465453975282.00,47658.88
8,124,Canada,North America,38781.29,2362318000000.00,1529760492201.00,60913.86
9,380,Italy,Europe,58870.76,2169384000000.00,1858913163928.00,36849.94
10,76,Brazil,South America,216422.45,1980483000000.00,1795925681016.00,9151.01
11,410,South Korea,Asia,51784.06,1919562000000.00,1411245589977.00,37068.59
12,36,Australia,Oceania,26439.11,1828394000000.00,1304463104965.00,69154.90
13,364,Iran,Asia,89172.77,1782602000000.00,425402616011.00,19990.43
14,643,Russia,Europe,144444.36,1713154000000.00,1246015056927.00,11860.30
15,724,Spain,Europe,47519.63,1519090000000.00,1237255019654.00,31967.63
16,360,Indonesia,Asia,277534.12,1410748000000.00,932259177621.00,5083.15
17,484,Mexico,North America,128455.57,1379727000000.00,1076914464477.00,10740.89
18,528,Netherlands,Europe,17618.30,1072789000000.00,777227541581.00,60890.61
19,682,Saudi Arabia,Asia,36947.03,1021905000000.00,639617050945.00,27658.65
20,158,Taiwan,Asia,23923.28,892516000000.00,0.00,37307.43
21,756,Switzerland,Europe,8796.67,888199000000.00,668851296244.00,100969.92
22,616,Poland,Europe,41026.07,755645000000.00,471402266588.00,18418.66
23,792,Turkey,Europe,85816.20,714305000000.00,863711710542.00,8323.66
24,752,Sweden,Europe,10612.09,669872000000.00,514475856961.00,63123.50
25,56,Belgium,Europe,11686.14,639716000000.00,467955267357.00,54741.43
26,566,Nigeria,Africa,223804.63,580121000000.00,404649125399.00,2592.09
27,32,Argentina,South America,45773.88,573633000000.00,545866164479.00,12531.88
28,372,Ireland,Europe,5056.94,562134000000.00,304819019837.00,111161.01
29,764,Thailand,Asia,71801.28,556372000000.00,407026319505.00,7748.78
30,578,Norway,Europe,5474.36,549733000000.00,371068933176.00,100419.59
31,376,Israel,Asia,9174.52,547765000000.00,317747579750.00,59705.03
32,40,Austria,Europe,8958.96,518808000000.00,390799991147.00,57909.40
33,784,United Arab Emirates,Asia,9516.87,506234000000.00,348743627620.00,53193.32
34,458,Malaysia,Asia,34308.53,481988000000.00,296531469473.00,14048.64
35,704,Vietnam,Asia,98858.95,462644000000.00,205276171343.00,4679.84
36,702,Singapore,Asia,6014.72,450999000000.00,296946278392.00,74982.51
37,818,Egypt,Africa,112716.60,450361000000.00,270143813412.00,3995.52
38,710,South Africa,Africa,60414.50,447720000000.00,295440009818.00,7410.80
39,608,Philippines,Asia,117337.37,445827000000.00,304905638877.00,3799.53
40,50,Bangladesh,Asia,172954.32,438436000000.00,220836732893.00,2534.98
41,208,Denmark,Europe,5910.91,419266000000.00,306899653410.00,70930.84
42,344,Hong Kong,Asia,7491.61,391338000000.00,320912235499.00,52236.84
43,170,Colombia,South America,52085.17,370470000000.00,282462551367.00,7112.77
44,152,Chile,South America,19629.59,351036000000.00,247045730477.00,17883.00
45,203,Czech Republic,Europe,10495.30,318938000000.00,195305084919.00,30388.66
46,246,Finland,Europe,5545.48,314502000000.00,238502900312.00,56713.27
47,642,Romania,Europe,19892.81,312694000000.00,186690976699.00,15718.94
48,368,Iraq,Asia,45504.56,299409000000.00,160021001474.00,6579.76
49,554,New Zealand,Oceania,5228.10,276720000000.00,187517098554.00,52929.36
50,620,Portugal,Europe,10247.61,267241000000.00,204836597909.00,26078.39
51,604,Peru,South America,34352.72,257960000000.00,192209529586.00,7509.16
52,300,Greece,Europe,10341.28,234808000000.00,192690813127.00,22705.90
53,634,Qatar,Asia,2716.39,228356000000.00,152451923077.00,84065.95
54,398,Kazakhstan,Europe,19606.63,225928000000.00,135005203998.00,11523.04
55,348,Hungary,Europe,10156.24,219463000000.00,125816640421.00,21608.69
56,12,Algeria,Africa,45606.48,199382000000.00,159049145187.00,4371.79
57,414,Kuwait,Asia,4310.11,180665000000.00,110346129191.00,41916.58
58,504,Morocco,Africa,37840.04,142967000000.00,103606574896.00,3778.19
59,24,Angola,Africa,36684.20,133335000000.00,106917535790.00,3634.67
60,703,Slovakia,Europe,5795.20,131046000000.00,89768598023.00,22612.86
61,630,Puerto Rico,North America,3260.31,121068000000.00,105034500000.00,37133.85
62,218,Ecuador,South America,18190.48,120246000000.00,98010212618.00,6610.38
63,404,Kenya,Africa,55100.59,119127000000.00,70525979046.00,2161.99
64,214,Dominican Republic,North America,11332.97,116544000000.00,71583585170.00,10283.62
65,231,Ethiopia,Africa,126527.06,116247000000.00,70314560872.00,918.75
66,512,Oman,Asia,4644.38,110250000000.00,63170959402.00,23738.35
67,100,Bulgaria,Europe,6687.72,97798000000.00,53239643485.00,14623.53
68,320,Guatemala,North America,18092.03,95988000000.00,68762920570.00,5305.54
69,442,Luxembourg,Europe,654.77,91773000000.00,58631324559.00,140161.10
70,144,Sri Lanka,Asia,21893.58,87121000000.00,81321970966.00,3979.29
71,834,Tanzania,Africa,67438.11,86152000000.00,0.00,1277.50
72,795,Turkmenistan,Asia,6516.10,84893000000.00,36179885714.00,13028.19
73,860,Uzbekistan,Asia,35163.94,81809000000.00,67778902435.00,2326.50
74,384,Ivory Coast,Africa,28873.03,80338000000.00,36767790205.00,2782.46
75,288,Ghana,Africa,34121.99,78893000000.00,42793869465.00,2312.09
76,591,Panama,North America,4468.09,76549000000.00,55187800000.00,17132.39
77,440,Lithuania,Europe,2718.35,75992000000.00,42773029835.00,27955.17
78,191,Croatia,Europe,4008.62,75827000000.00,51231002611.00,18916.00
79,104,Myanmar,Asia,54578.00,73543000000.00,65697616068.00,1347.48
80,31,Azerbaijan,Europe,10412.65,72912000000.00,37847204069.00,7002.25
81,688,Serbia,Europe,7149.08,72587000000.00,38299871897.00,10153.34
82,180,DR Congo,Africa,102262.81,71487000000.00,40337492609.00,699.05
83,705,Slovenia,Europe,2119.68,69888000000.00,44708598649.00,32971.09
84,188,Costa Rica,North America,5212.17,68180000000.00,57435510668.00,13080.92
85,858,Uruguay,South America,3423.11,66988000000.00,52419718459.00,19569.35
86,112,Belarus,Europe,9498.24,60188000000.00,47408111179.00,6336.75
87,400,Jordan,Asia,11337.05,50461000000.00,38654647887.00,4450.98
88,800,Uganda,Africa,48582.33,50100000000.00,25307842467.00,1031.24
89,862,Venezuela,South America,28838.50,49823000000.00,291376437340.00,1727.66
90,120,Cameroon,Africa,28647.29,49518000000.00,32217073816.00,1728.54
91,48,Bahrain,Asia,1485.51,45421000000.00,32179073596.00,30576.05
92,434,Libya,Africa,6888.39,45195000000.00,42959534586.00,6561.04
93,446,Macau,Asia,704.15,44856000000.00,45311080521.00,63702.43
94,600,Paraguay,South America,6861.52,44671000000.00,27165101909.00,6510.36
95,68,Bolivia,South America,12388.57,43351000000.00,33806395465.00,3499.27
96,428,Latvia,Europe,1830.21,43128000000.00,27572698482.00,23564.50
97,233,Estonia,Europe,1322.77,40102000000.00,23337920560.00,30316.80
98,524,Nepal,Asia,30896.59,39028000000.00,20914004957.00,1263.18
99,716,Zimbabwe,Africa,16665.41,34654000000.00,16123763648.00,2079.40
100,598,Papua New Guinea,Oceania,10329.93,32334000000.00,19694115731.00,3130.13
101,222,El Salvador,North America,6364.94,32223000000.00,26797469656.00,5062.57
102,686,Senegal,Africa,17763.16,32107000000.00,14604520531.00,1807.50
103,340,Honduras,North America,10593.80,31661000000.00,21516915353.00,2988.64
104,116,Cambodia,Asia,16944.83,30239000000.00,20016747858.00,1784.56
105,196,Cyprus,Europe,1260.14,30137000000.00,20046234311.00,23915.63
106,887,Yemen,Asia,34449.83,29556000000.00,25374086438.00,857.94
107,352,Iceland,Europe,375.32,29476000000.00,20269659972.00,78536.07
108,894,Zambia,Africa,20569.74,27709000000.00,21063063977.00,1347.08
109,96,Brunei,Asia,452.52,27708000000.00,11400266878.00,61229.90
110,780,Trinidad and Tobago,North America,1534.94,25030000000.00,24086176564.00,16306.86
111,70,Bosnia and Herzegovina,Europe,3210.85,24971000000.00,16909904149.00,7777.08
112,268,Georgia,Europe,3728.28,23300000000.00,14332728707.00,6249.53
113,324,Guinea,Africa,14190.61,22945000000.00,8476136811.00,1616.91
114,266,Gabon,Africa,2436.57,22472000000.00,13863183526.00,9222.82
115,854,Burkina Faso,Africa,23251.49,21280000000.00,11695117109.00,915.21
116,332,Haiti,North America,11724.76,21195000000.00,7647347306.00,1807.71
117,466,Mali,Africa,23293.70,21191000000.00,14001696748.00,909.73
118,496,Mongolia,Asia,3447.16,21047000000.00,11160356685.00,6105.61
119,204,Benin,Africa,13712.83,20029000000.00,8893638002.00,1460.60
120,72,Botswana,Africa,2675.35,19821000000.00,15566057294.00,7408.74
121,508,Mozambique,Africa,33897.35,19519000000.00,10930131568.00,575.83
122,8,Albania,Europe,2832.44,19062000000.00,11863866791.00,6729.89
123,470,Malta,Europe,535.06,18627000000.00,10998577038.00,34812.66
124,418,Laos,Asia,7633.78,17996000000.00,15805707090.00,2357.42
125,562,Niger,Africa,27202.84,17303000000.00,7528285819.00,636.07
126,558,Nicaragua,North America,7046.31,16776000000.00,13230214875.00,2380.82
127,328,Guyana,South America,813.83,16377000000.00,3436626633.00,20123.27
128,388,Jamaica,North America,2825.54,16208000000.00,14056901075.00,5736.24
129,51,Armenia,Europe,2777.97,15842000000.00,10572299425.00,5702.73
130,178,Republic of the Congo,Africa,6106.87,15641000000.00,7778081883.00,2561.21
131,807,North Macedonia,Europe,2085.68,15546000000.00,10745782586.00,7453.69
132,450,Madagascar,Africa,30325.73,15189000000.00,11222263845.00,500.86
133,226,Equatorial Guinea,Africa,1714.67,14956000000.00,10677940568.00,8722.37
134,516,Namibia,Africa,2604.17,14205000000.00,10947277246.00,5454.71
135,498,Moldova,Europe,3435.93,13752000000.00,6772647958.00,4002.41
136,44,Bahamas,North America,412.62,13630000000.00,11261800000.00,33032.57
137,148,Chad,Africa,18278.57,13517000000.00,11267295771.00,739.50
138,646,Rwanda,Africa,14094.68,13170000000.00,8473784827.00,934.39
139,480,Mauritius,Africa,1300.56,12538000000.00,12216235024.00,9640.48
140,454,Malawi,Africa,20931.75,11325000000.00,5318197658.00,541.04
141,728,South Sudan,Africa,11088.80,10771000000.00,6534451826.00,971.34
142,478,Mauritania,Africa,4862.99,9705000000.00,4667119320.00,1995.69
143,768,Togo,Africa,9053.80,9539000000.00,4449262345.00,1053.59
144,417,Kyrgyzstan,Asia,6735.35,9511000000.00,6551291140.00,1412.10
145,706,Somalia,Africa,18143.38,9185000000.00,1318057519.00,506.25
146,762,Tajikistan,Asia,10143.54,7699000000.00,6951679338.00,759.01
147,499,Montenegro,Europe,626.49,6679000000.00,4373958354.00,10661.07
148,462,Maldives,Asia,521.02,6109000000.00,4224207488.00,11725.06
149,52,Barbados,North America,282.00,5926000000.00,4552793288.00,21014.56
150,242,Fiji,Oceania,936.38,5734000000.00,4671118364.00,6123.62
151,748,Eswatini,Africa,1210.82,4945000000.00,4007002048.00,4084.00
152,694,Sierra Leone,Africa,8791.09,4266000000.00,3674756785.00,485.26
153,262,Djibouti,Africa,1136.46,4199000000.00,1891520369.00,3694.82
154,430,Liberia,Africa,5418.38,4064000000.00,2756817825.00,750.04
155,108,Burundi,Africa,13238.56,3686000000.00,2873699606.00,278.43
156,20,Andorra,Europe,80.09,3580000000.00,2858406626.00,44700.83
157,533,Aruba,North America,106.28,3395000000.00,2667039106.00,31944.82
158,740,Suriname,South America,623.24,3119000000.00,3278445033.00,5004.52
159,64,Bhutan,Asia,787.42,2881000000.00,2212642587.00,3658.77
160,140,Central African Republic,Africa,5742.32,2877000000.00,1810388740.00,501.02
161,232,Eritrea,Africa,3748.90,2777000000.00,5413804303.00,740.75
162,426,Lesotho,Africa,2330.32,2716000000.00,2241017076.00,1165.51
163,270,Gambia,Africa,2773.17,2341000000.00,985831536.00,844.16
164,662,Saint Lucia,North America,180.25,2277000000.00,1397066906.00,12632.38
165,132,Cape Verde,Africa,598.68,2178000000.00,1638928099.00,3637.99
166,84,Belize,North America,410.83,2135000000.00,1741100000.00,5196.86
167,626,Timor-Leste,Asia,1360.60,2035000000.00,2703285752.00,1495.67
168,690,Seychelles,Africa,107.66,1804000000.00,1433826317.00,16756.46
169,624,Guinea-Bissau,Africa,2150.84,1802000000.00,1122643236.00,837.81
170,90,Solomon Islands,Oceania,740.42,1783000000.00,1133967215.00,2408.08
171,674,San Marino,Europe,33.64,1777000000.00,1590761265.00,52820.88
172,28,Antigua and Barbuda,North America,94.30,1768000000.00,1460157909.00,18749.07
173,174,Comoros,Africa,852.08,1386000000.00,1149802573.00,1626.62
174,308,Grenada,North America,126.18,1275000000.00,1016208148.00,10104.37
175,659,Saint Kitts and Nevis,North America,47.76,1216000000.00,909854620.00,25463.30
176,548,Vanuatu,Oceania,334.51,1071000000.00,837519790.00,3201.74
177,670,Saint Vincent and the Grenadines,North America,103.70,1043000000.00,765318745.00,10058.05
178,882,Samoa,Oceania,225.68,868000000.00,822233281.00,3846.14
179,212,Dominica,North America,73.04,695000000.00,581484032.00,9515.33
180,776,Tonga,Oceania,107.77,574000000.00,401460313.00,5326.01
181,678,Sao Tome and Principe,Africa,231.86,569000000.00,342781695.00,2454.11
182,583,Micronesia,Oceania,115.22,452000000.00,329895643.00,3922.79
183,585,Palau,Oceania,18.06,296000000.00,310248000.00,16391.63
184,584,Marshall Islands,Oceania,42.00,284000000.00,183000000.00,6762.55
185,296,Kiribati,Oceania,133.52,233000000.00,173655146.00,1745.12
186,520,Nauru,Oceania,12.78,138000000.00,103469824.00,10798.12
187,798,Tuvalu,Oceania,11.40,71000000.00,36697185.00,6230.26
188,4,Afghanistan,Asia,42239.85,0.00,20235063330.00,479.05
189,60,Bermuda,North America,64.07,0.00,6127341000.00,95636.59
190,92,British Virgin Islands,North America,31.54,0.00,971237110.00,30795.77
191,136,Cayman Islands,North America,69.31,0.00,3844080626.00,55462.14
192,184,Cook Islands,Oceania,17.04,0.00,290194195.00,17026.18
193,192,Cuba,North America,11194.45,0.00,89688700000.00,8011.89
194,258,French Polynesia,Oceania,308.87,0.00,5417934152.00,17541.03
195,275,Palestine,Asia,5371.23,0.00,13397100000.00,2494.23
196,304,Greenland,North America,56.64,0.00,2282927882.00,40303.80
197,408,North Korea,Asia,26160.82,0.00,16788601831.00,641.75
198,412,Kosovo,Europe,1663.59,0.00,6714465857.00,4036.12
199,422,Lebanon,Asia,5353.93,0.00,50457653265.00,9424.41
200,438,Liechtenstein,Europe,39.58,0.00,6193677543.00,156469.22
201,492,Monaco,Europe,36.30,0.00,6468000877.00,178196.57
202,500,Montserrat,North America,4.39,0.00,62051375.00,14147.60
203,531,Curacao,North America,192.08,0.00,3121449966.00,16251.03
204,534,Sint Maarten,North America,44.22,0.00,1072067039.00,24242.84
205,540,New Caledonia,Oceania,292.99,0.00,9445714851.00,32238.92
206,586,Pakistan,Asia,240485.66,0.00,282506007859.00,1174.73
207,660,Anguilla,North America,15.90,0.00,337520470.00,21229.04
208,729,Sudan,Africa,48109.01,0.00,82887395895.00,1722.91
209,760,Syria,Asia,23227.01,0.00,22163075121.00,954.19
210,788,Tunisia,Africa,12458.22,0.00,41703561397.00,3347.47
211,796,Turks and Caicos Islands,North America,46.06,0.00,917550492.00,19919.90
212,804,Ukraine,Europe,36744.63,0.00,93270354852.00,2538.34
